epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3952,1.19539,2.62613,1.29953,0.00862,0.98182,0.80665,0.43843,1.11175,2.55419,1.21918,0.0003,0.0003,0.0003
2,29.4072,1.22765,2.20622,1.29848,0.01082,0.98182,0.68915,0.31599,1.35971,2.62519,1.41286,0.00055862,0.00055862,0.00055862
3,43.6699,1.33427,1.96427,1.32363,0.90413,0.34303,0.72851,0.33456,1.58155,2.16328,1.68364,0.00075388,0.00075388,0.00075388
4,56.4596,1.45344,1.94242,1.36579,0.7449,0.50909,0.65195,0.28912,1.58071,2.1744,1.85263,0.00088578,0.00088578,0.00088578
5,69.0861,1.4109,1.86356,1.35087,0.87957,0.53126,0.69226,0.34856,1.51516,2.12817,1.56825,0.00095432,0.00095432,0.00095432
6,82.7019,1.44486,1.95568,1.4296,0.67214,0.58182,0.63091,0.28704,1.76696,1.93304,1.88327,0.0009595,0.0009595,0.0009595
7,94.8461,1.36004,1.88009,1.32491,0.72925,0.70909,0.7525,0.37793,1.44252,1.6592,1.53291,0.000812,0.000812,0.000812
8,108.304,1.25539,1.7241,1.27837,0.87991,0.65455,0.79613,0.37162,1.57912,1.68663,1.67995,0.000614,0.000614,0.000614
9,120.782,1.24747,1.63077,1.22876,0.8854,0.74545,0.86299,0.52825,1.38472,1.41289,1.36759,0.000416,0.000416,0.000416
10,133.512,1.20163,1.61389,1.2156,0.84737,0.81818,0.88295,0.54864,1.29938,1.34615,1.26722,0.000218,0.000218,0.000218
